"","trisk","df","logLik","AIC","BIC","Method","Cancer","Age","Sex","Database"
"232",2533,5,-511.254,1032.507,1054.147,"Spline (3 knots)","Colorectal","18 to 39","Both","CPRD_GOLD"
"233",8529,2,-1963.374,3930.747,3941.735,"Gompertz","Colorectal","40 to 49","Both","CPRD_GOLD"
"234",8529,2,-2032.657,4069.314,4080.302,"WeibullPH","Colorectal","40 to 49","Both","CPRD_GOLD"
"235",8529,1,-2125.685,4253.37,4258.864,"Exponential","Colorectal","40 to 49","Both","CPRD_GOLD"
"236",8529,2,-2011.368,4026.735,4037.723,"Log-logistic","Colorectal","40 to 49","Both","CPRD_GOLD"
"237",8529,2,-1993.244,3990.487,4001.475,"Log-normal","Colorectal","40 to 49","Both","CPRD_GOLD"
"238",8529,3,-1986.23,3978.46,3994.941,"Generalised Gamma","Colorectal","40 to 49","Both","CPRD_GOLD"
"239",8529,3,-1970.139,3946.279,3962.76,"Spline (1 knot)","Colorectal","40 to 49","Both","CPRD_GOLD"
"240",8529,5,-1955.868,3921.735,3949.205,"Spline (3 knots)","Colorectal","40 to 49","Both","CPRD_GOLD"
"241",26876,2,-6579.815,13163.63,13176.914,"Gompertz","Colorectal","50 to 59","Both","CPRD_GOLD"
"242",26876,2,-6664.516,13333.032,13346.316,"WeibullPH","Colorectal","50 to 59","Both","CPRD_GOLD"
"243",26876,1,-6909.971,13821.943,13828.585,"Exponential","Colorectal","50 to 59","Both","CPRD_GOLD"
"244",26876,2,-6617.906,13239.812,13253.096,"Log-logistic","Colorectal","50 to 59","Both","CPRD_GOLD"
"245",26876,2,-6587.779,13179.559,13192.843,"Log-normal","Colorectal","50 to 59","Both","CPRD_GOLD"
"246",26876,3,-6586.297,13178.594,13198.521,"Generalised Gamma","Colorectal","50 to 59","Both","CPRD_GOLD"
"247",26876,3,-6576.969,13159.938,13179.865,"Spline (1 knot)","Colorectal","50 to 59","Both","CPRD_GOLD"
"248",26876,5,-6561.282,13132.564,13165.775,"Spline (3 knots)","Colorectal","50 to 59","Both","CPRD_GOLD"
"249",53684,2,-14832.17,29668.341,29683.067,"Gompertz","Colorectal","60 to 69","Both","CPRD_GOLD"
"250",53684,2,-14878.693,29761.387,29776.113,"WeibullPH","Colorectal","60 to 69","Both","CPRD_GOLD"
"251",53684,1,-15411.617,30825.235,30832.598,"Exponential","Colorectal","60 to 69","Both","CPRD_GOLD"
"252",53684,2,-14796.819,29597.637,29612.363,"Log-logistic","Colorectal","60 to 69","Both","CPRD_GOLD"
